PV_1,PV_2,PV_3,PV_4,PV_5,PV_6,PV_7,PV_8,PV_9,PV_10,Slack_10
0.12776968281199133,0.14790464376135204,1.5935402065916846e-10,0.1472223847207437,0.14488635838890263,0.1363103752367798,1.5360968587647478e-10,0.1488911503404448,0.14701533374800704,0.0,7.067881514005334e-08
0.1382574834339135,0.1482165182231756,9.238868212438036e-11,0.1477818050749741,0.13431385354502343,0.13771425046566305,5.977043399492408e-11,0.1436292490764353,0.15008682187858333,0.0,1.8150072536143265e-08
0.14003912734657925,0.14740846689425788,7.697859739076943e-11,0.1470577940190191,0.13526934142669458,0.1371842922177606,5.152479652018698e-11,0.14409137140763426,0.1489495867295525,0.0,1.9829998365190422e-08
0.14956294375476065,0.14419360512646118,7.244155470279655e-10,0.1440385085985663,0.13256626138000158,0.13546566927444087,8.270103824616454e-10,0.1394749495544952,0.15469705171780945,0.0,1.009042039071804e-06
0.1417071054127063,0.14594441174073008,5.94809599824893e-11,0.14557042667192324,0.13662979605173575,0.13779336388124602,4.1061452211074226e-11,0.14335478274464608,0.1490000821489322,0.0,3.124753811699107e-08
0.14191873272920033,0.1458042218945101,3.728251019773869e-11,0.1454457284600567,0.13654348534856223,0.13777833393413522,2.8716193928698035e-11,0.1433531434510576,0.14915631154904863,0.0,4.2567430650230524e-08
0.1420154081295297,0.14563502569603887,3.143623576518946e-11,0.1453030539640817,0.1365835635368219,0.13785807939673297,2.5045330246713483e-11,0.1433887397658781,0.1492160881956568,0.0,4.125877813179951e-08
0.15588999782609841,0.14172362246250297,8.846798783407496e-13,0.14175518489090091,0.13097307770192537,0.13871287313616074,9.040965964395573e-13,0.13687500785909046,0.1540702345014418,0.0,1.620090574836001e-09
0.15611240502228999,0.14172555872468354,7.905341968739634e-13,0.1417975128933722,0.13083263730228145,0.13856320632708816,8.153955477266238e-13,0.13660219655028585,0.1543664814836613,0.0,1.694731721617145e-09
0.15088049648057753,0.14375381182844807,8.383423685998533e-13,0.14369264635761447,0.13229167145167392,0.13574876038251002,9.15766924377029e-13,0.13893992984473336,0.15469268234165864,0.0,1.3110299163844486e-09
0.1420903336085919,0.14608141218998197,6.354273107570709e-10,0.1456077015206413,0.1323251838922625,0.1332990100002592,7.065392819793003e-10,0.14108867408601164,0.15950737593791448,0.0,3.074223703774604e-07
0.13993904616786773,0.147437802721694,7.832229566702452e-11,0.14708146773455613,0.13513688227867077,0.13725515840885083,5.294369849822834e-11,0.14414252679359182,0.14900709585112357,0.0,1.99123790611046e-08
