PV_1,PV_2,PV_3,PV_4,PV_5,PV_6,PV_7,PV_8,PV_9,PV_10,Slack_10
0.12279764073641504,0.1275597541012859,1.4743110548420644e-11,0.12702358547721146,0.12393698412409226,0.1180478275521905,1.8355580813154485e-11,0.12754773362453167,0.12941257554313254,0.12367387940714736,1.940089441060142e-08
0.08813235704622283,0.09275863775122348,1.5784079399429235e-10,0.09253364858191361,0.08922111600404146,0.08699467803799557,2.155546950419543e-10,0.09194348280614278,0.09259945568341513,0.3658161895160552,4.341995944741056e-07
0.12404894688250932,0.12647142671738054,2.5175769309692463e-10,0.12608444948032743,0.12196097712855877,0.120006975607611,2.4593208510092056e-10,0.12569554683641673,0.1286443223095121,0.12708679205025558,5.624897386112166e-07
0.042617360131511066,0.09873179036802414,4.790577353393426e-10,0.09798591664443872,0.10436071073959331,0.09234684940632323,5.574525225480184e-10,0.10415501641274477,0.07856556962678374,0.38123625039724335,5.352368274211462e-07
0.10735831114633838,0.1085072424108219,1.809802076762301e-10,0.10831367176425352,0.10550462559365173,0.10338970572913733,2.0429062498186576e-10,0.1079917564744305,0.11065748208703344,0.2482763124574873,8.919515752739816e-07
0.0866015296846434,0.09007242386002402,3.449650720204603e-10,0.08987914202064952,0.08836518715702443,0.08498125440424051,4.132321940154053e-10,0.09019268552901144,0.09088687264130944,0.3790197120255244,1.1919193754344983e-06
0.10267105297078818,0.10364106113113775,1.774209645765973e-10,0.10346945178503213,0.10086264729213026,0.09905884586850473,2.0193176388859558e-10,0.10313612372786335,0.10563647229390583,0.28152346035723963,8.841940454420127e-07
0.09380149655016672,0.12454499842921465,6.044332343567829e-12,0.12455604886312795,0.11587879465023536,0.12153484433517996,7.001704082755911e-12,0.12047678582334109,0.12080791285372545,0.17839911170581876,6.776144011689856e-09
0.11474230136994351,0.13457635086520764,3.3330768297846457e-12,0.13434698226984815,0.1247408109789283,0.12999143682181466,3.959675981944825e-12,0.13055763489670605,0.13275399180647576,0.0982904861037075,4.880075707921151e-09
0.12277740654822748,0.13394384132236928,1.880440568290902e-12,0.1336917565729715,0.1265421372584496,0.12927811236986475,2.17963900966801e-12,0.13163289568077466,0.13243105148312678,0.08970279717339522,1.586760696963665e-09
0.10546253781229371,0.13250195100712392,2.1546805750311544e-12,0.132262754174935,0.12438062535716918,0.12706547969436532,2.4912621966463474e-12,0.12964448997134362,0.13063750851952857,0.11804465254902735,9.095671851942732e-10
0.09854796930821585,0.10248804955602991,7.414198480341419e-10,0.10209288199131117,0.09935663454758936,0.09539772223383684,7.509970728034225e-10,0.10382355414466891,0.10344532251688733,0.2948469840007096,8.802083339791635e-07
